N° Circuito,Carga,Configuración,Resistencia (-),Resistencia (+), SI , NO 
1,1,L-N,0.00 ohm,0.00 ohm,X , 
1,1,L-PE,0.00 ohm,0.00 ohm,X , 
1,1,N-PE,0.35 ohm,0.34 ohm,X , 
1,2,L-N,0.00 ohm,0.01 ohm,X , 
1,2,L-PE,0.03 ohm,0.03 ohm,X , 
1,2,N-PE,0.40 ohm,0.41 ohm,X , 
1,3,L-N,0.09 ohm,0.10 ohm,X , 
1,3,L-PE,0.12 ohm,0.13 ohm,X , 
1,3,N-PE,0.48 ohm,0.48 ohm,X , 
1,4,L-N,0.01 ohm,0.02 ohm,X , 
1,4,L-PE,0.04 ohm,0.04 ohm,X , 
1,4,N-PE,0.46 ohm,0.46 ohm,X , 
1,5,L-N,0.02 ohm,0.03 ohm,X , 
1,5,L-PE,0.05 ohm,0.05 ohm,X , 
1,5,N-PE,0.41 ohm,0.41 ohm,X , 
1,6,L-N,0.00 ohm,0.00 ohm,X , 
1,6,L-PE,0.00 ohm,0.00 ohm,X , 
1,6,N-PE,0.34 ohm,0.34 ohm,X , 
1,7,L-N,0.00 ohm,0.00 ohm,X , 
1,7,L-PE,0.00 ohm,0.00 ohm,X , 
1,7,N-PE,0.35 ohm,0.35 ohm,X , 
1,8,L-N,0.00 ohm,0.00 ohm,X , 
1,8,L-PE,0.00 ohm,0.00 ohm,X , 
1,8,N-PE,0.38 ohm,0.38 ohm,X , 
1,9,L-N,0.00 ohm,0.00 ohm,X , 
1,9,L-PE,0.00 ohm,0.00 ohm,X , 
1,9,N-PE,0.25 ohm,0.25 ohm,X , 
1,10,L-N,0.00 ohm,0.00 ohm,X , 
1,10,L-PE,0.00 ohm,0.00 ohm,X , 
1,10,N-PE,0.20 ohm,0.20 ohm,X , 
1,11,L-N,0.00 ohm,0.00 ohm,X , 
1,11,L-PE,0.00 ohm,0.00 ohm,X , 
1,11,N-PE,0.35 ohm,0.35 ohm,X , 
1,12,L-N,0.00 ohm,0.00 ohm,X , 
1,12,L-PE,0.00 ohm,0.00 ohm,X , 
1,12,N-PE,0.26 ohm,0.26 ohm,X , 
1,13,L-N,0.00 ohm,0.00 ohm,X , 
1,13,L-PE,0.00 ohm,0.00 ohm,X , 
1,13,N-PE,0.32 ohm,0.33 ohm,X , 
