N° Circuito,Carga,Configuración,Resistencia (-),Resistencia (+), SI , NO 
1,14,L-N,0.00 ohm,0.00 ohm,X , 
1,14,L-PE,0.00 ohm,0.00 ohm,X , 
1,14,N-PE,0.08 ohm,0.08 ohm,X , 
1,15,L-N,0.00 ohm,0.00 ohm,X , 
1,15,L-PE,0.00 ohm,0.00 ohm,X , 
1,15,N-PE,0.38 ohm,0.39 ohm,X , 
1,16,L-N,0.00 ohm,0.00 ohm,X , 
1,16,L-PE,0.00 ohm,0.00 ohm,X , 
1,16,N-PE,0.42 ohm,0.42 ohm,X , 
1,17,L-N,0.00 ohm,0.00 ohm,X , 
1,17,L-PE,0.00 ohm,0.00 ohm,X , 
1,17,N-PE,0.00 ohm,0.00 ohm,X , 
1,18,L-N,0.00 ohm,0.00 ohm,X , 
1,18,L-PE,0.00 ohm,0.00 ohm,X , 
1,18,N-PE,0.06 ohm,0.06 ohm,X , 
1,19,L-N,0.00 ohm,0.00 ohm,X , 
1,19,L-PE,0.00 ohm,0.00 ohm,X , 
1,19,N-PE,0.14 ohm,0.14 ohm,X , 
1,20,L-N,0.00 ohm,0.00 ohm,X , 
1,20,L-PE,0.00 ohm,0.00 ohm,X , 
1,20,N-PE,0.35 ohm,0.35 ohm,X , 
1,21,L-N,0.00 ohm,0.00 ohm,X , 
1,21,L-PE,0.00 ohm,0.00 ohm,X , 
1,21,N-PE,0.21 ohm,0.22 ohm,X , 
1,22,L-N,0.00 ohm,0.00 ohm,X , 
1,22,L-PE,0.00 ohm,0.00 ohm,X , 
1,22,N-PE,0.29 ohm,0.29 ohm,X , 
1,23,L-N,0.00 ohm,0.00 ohm,X , 
1,23,L-PE,0.00 ohm,0.00 ohm,X , 
1,23,N-PE,0.32 ohm,0.32 ohm,X , 
1,24,L-N,0.00 ohm,0.00 ohm,X , 
1,24,L-PE,0.00 ohm,0.00 ohm,X , 
1,24,N-PE,0.37 ohm,0.37 ohm,X , 
1,25,L-N,0.00 ohm,0.00 ohm,X , 
1,25,L-PE,0.00 ohm,0.00 ohm,X , 
1,25,N-PE,0.31 ohm,0.31 ohm,X , 
1,26,L-N,0.00 ohm,0.00 ohm,X , 
1,26,L-PE,0.00 ohm,0.00 ohm,X , 
1,26,N-PE,0.13 ohm,0.13 ohm,X , 
1,27,L-N,0.00 ohm,0.00 ohm,X , 
1,27,L-PE,0.00 ohm,0.00 ohm,X , 
1,27,N-PE,0.17 ohm,0.18 ohm,X , 
1,28,L-N,0.00 ohm,0.00 ohm,X , 
1,28,L-PE,0.00 ohm,0.00 ohm,X , 
1,28,N-PE,0.49 ohm,0.27 ohm,X , 
1,29,L-N,0.69 ohm,0.69 ohm,X , 
1,29,L-PE,0.66 ohm,0.66 ohm,X , 
1,29,N-PE,0.57 ohm,0.57 ohm,X , 
2,1,L-N,0.24 ohm,0.24 ohm,X , 
2,1,L-PE,0.22 ohm,0.22 ohm,X , 
2,1,N-PE,0.24 ohm,0.24 ohm,X , 
2,2,L-N,0.28 ohm,0.28 ohm,X , 
2,2,L-PE,0.26 ohm,0.26 ohm,X , 
2,2,N-PE,0.28 ohm,0.28 ohm,X , 
2,3,L-N,0.38 ohm,0.39 ohm,X , 
2,3,L-PE,0.37 ohm,0.37 ohm,X , 
2,3,N-PE,0.38 ohm,0.39 ohm,X , 
2,4,L-N,0.47 ohm,0.47 ohm,X , 
2,4,L-PE,0.46 ohm,0.46 ohm,X , 
2,4,N-PE,0.47 ohm,0.47 ohm,X , 
1001,Al.,L-N,0.56 ohm,0.57 ohm,X , 
1001,Al.,L-PE,0.55 ohm,0.55 ohm,X , 
1001,Al.,N-PE,0.56 ohm,0.56 ohm,X , 
1001,Al.,L-N,0.42 ohm,0.42 ohm,X , 
1001,Al.,L-PE,0.40 ohm,0.40 ohm,X , 
1001,Al.,N-PE,0.42 ohm,0.42 ohm,X , 
1001,Al.,L-N,0.30 ohm,0.30 ohm,X , 
1001,Al.,L-PE,0.28 ohm,0.28 ohm,X , 
1001,Al.,N-PE,0.30 ohm,0.30 ohm,X , 
3,4,L-N,0.36 ohm,0.37 ohm,X , 
3,4,L-PE,0.34 ohm,0.35 ohm,X , 
3,4,N-PE,0.37 ohm,0.36 ohm,X , 
3,5,L-N,0.64 ohm,0.65 ohm,X , 
3,5,L-PE,0.62 ohm,0.63 ohm,X , 
3,5,N-PE,0.64 ohm,0.64 ohm,X , 
3,6,L-N,0.74 ohm,0.74 ohm,X , 
3,6,L-PE,0.73 ohm,0.73 ohm,X , 
3,6,N-PE,0.73 ohm,0.73 ohm,X , 
3,7,L-N,0.87 ohm,0.88 ohm,X , 
3,7,L-PE,0.85 ohm,0.87 ohm,X , 
3,7,N-PE,0.87 ohm,0.87 ohm,X , 
4,1,L-N,0.47 ohm,0.47 ohm,X , 
4,1,L-PE,0.45 ohm,0.45 ohm,X , 
4,1,N-PE,0.47 ohm,0.46 ohm,X , 
4,2,L-N,0.64 ohm,0.64 ohm,X , 
4,2,L-PE,0.62 ohm,0.62 ohm,X , 
4,2,N-PE,0.63 ohm,0.63 ohm,X , 
4,3,L-N,0.57 ohm,0.57 ohm,X , 
4,3,L-PE,0.55 ohm,0.56 ohm,X , 
4,3,N-PE,0.57 ohm,0.57 ohm,X , 
4,4,L-N,0.49 ohm,0.40 ohm,X , 
4,4,L-PE,0.37 ohm,0.38 ohm,X , 
4,4,N-PE,0.39 ohm,0.39 ohm,X , 
4,5,L-N,0.72 ohm,0.72 ohm,X , 
4,5,L-PE,0.71 ohm,0.51 ohm,X , 
4,5,N-PE,0.70 ohm,0.70 ohm,X , 
4,6,L-N,0.78 ohm,0.78 ohm,X , 
4,6,L-PE,0.77 ohm,0.77 ohm,X , 
4,6,N-PE,0.76 ohm,0.76 ohm,X , 
4,7,L-N,0.25 ohm,0.26 ohm,X , 
4,7,L-PE,0.23 ohm,0.24 ohm,X , 
4,7,N-PE,0.26 ohm,0.26 ohm,X , 
5,1,L-N,0.21 ohm,0.21 ohm,X , 
5,1,L-PE,0.18 ohm,0.18 ohm,X , 
5,1,N-PE,0.21 ohm,0.21 ohm,X , 
5,2,L-N,0.26 ohm,0.26 ohm,X , 
5,2,L-PE,0.23 ohm,0.24 ohm,X , 
5,2,N-PE,0.26 ohm,0.25 ohm,X , 
5,3,L-N,0.20 ohm,0.21 ohm,X , 
5,3,L-PE,0.18 ohm,0.18 ohm,X , 
5,3,N-PE,0.20 ohm,0.20 ohm,X , 
5,4,L-N,0.37 ohm,0.38 ohm,X , 
5,4,L-PE,0.35 ohm,0.35 ohm,X , 
5,4,N-PE,0.38 ohm,0.37 ohm,X , 
5,5,L-N,0.35 ohm,0.36 ohm,X , 
5,5,L-PE,0.33 ohm,0.33 ohm,X , 
5,5,N-PE,0.35 ohm,0.34 ohm,X , 
6,1,L-N,0.26 ohm,0.26 ohm,X , 
6,1,L-PE,0.24 ohm,0.24 ohm,X , 
6,1,N-PE,0.26 ohm,0.26 ohm,X , 
6,2,L-N,0.32 ohm,0.33 ohm,X , 
6,2,L-PE,0.30 ohm,0.30 ohm,X , 
6,2,N-PE,0.32 ohm,0.32 ohm,X , 
6,3,L-N,0.37 ohm,0.37 ohm,X , 
6,3,L-PE,0.34 ohm,0.34 ohm,X , 
6,3,N-PE,0.36 ohm,0.35 ohm,X , 
6,4,L-N,0.46 ohm,0.46 ohm,X , 
6,4,L-PE,0.43 ohm,0.43 ohm,X , 
6,4,N-PE,0.44 ohm,0.44 ohm,X , 
6,5,L-N,0.50 ohm,0.50 ohm,X , 
6,5,L-PE,0.47 ohm,0.48 ohm,X , 
6,5,N-PE,0.49 ohm,0.49 ohm,X , 
6,6,L-N,0.42 ohm,0.43 ohm,X , 
6,6,L-PE,0.40 ohm,0.40 ohm,X , 
6,6,N-PE,0.42 ohm,0.42 ohm,X , 
1,1,L-N,0.30 ohm,0.31 ohm,X , 
1,1,L-PE,0.28 ohm,0.29 ohm,X , 
1,1,N-PE,0.30 ohm,0.30 ohm,X , 
2,1,L-N,0.28 ohm,0.29 ohm,X , 
2,1,L-PE,0.26 ohm,0.26 ohm,X , 
2,1,N-PE,0.28 ohm,0.28 ohm,X , 
3,1,L-N,0.27 ohm,0.28 ohm,X , 
3,1,L-PE,0.26 ohm,0.26 ohm,X , 
3,1,N-PE,0.28 ohm,0.28 ohm,X , 
4,1,L-N,0.32 ohm,0.32 ohm,X , 
4,1,L-PE,0.29 ohm,0.29 ohm,X , 
4,1,N-PE,0.31 ohm,0.31 ohm,X , 
5,1,L-N,0.31 ohm,0.32 ohm,X , 
5,1,L-PE,0.29 ohm,0.29 ohm,X , 
5,1,N-PE,0.31 ohm,0.31 ohm,X , 
5,2,L-N,0.37 ohm,0.37 ohm,X , 
5,2,L-PE,0.34 ohm,0.34 ohm,X , 
5,2,N-PE,0.36 ohm,0.36 ohm,X , 
6,1,L-N,0.19 ohm,0.20 ohm,X , 
6,1,L-PE,0.16 ohm,0.17 ohm,X , 
6,1,N-PE,0.19 ohm,0.19 ohm,X , 
6,2,L-N,0.29 ohm,0.30 ohm,X , 
6,2,L-PE,0.27 ohm,0.27 ohm,X , 
6,2,N-PE,0.30 ohm,0.30 ohm,X , 
