N° Circuito,Carga,Configuración,Resistencia (-),Resistencia (+), SI , NO 
1,1,L-N,0.68 ohm,0.69 ohm,X , 
1,1,L-PE,0.65 ohm,0.66 ohm,X , 
1,1,N-PE,0.57 ohm,0.57 ohm,X , 
1,2,L-N,0.63 ohm,0.63 ohm,X , 
1,2,L-PE,0.60 ohm,0.61 ohm,X , 
1,2,N-PE,0.52 ohm,0.52 ohm,X , 
1,3,L-N,0.65 ohm,0.66 ohm,X , 
1,3,L-PE,0.61 ohm,0.62 ohm,X , 
1,3,N-PE,0.50 ohm,0.50 ohm,X , 
1,4,L-N,0.94 ohm,0.95 ohm,X , 
1,4,L-PE,0.91 ohm,0.92 ohm,X , 
1,4,N-PE,0.84 ohm,0.84 ohm,X , 
1,5,L-N,0.98 ohm,0.98 ohm,X , 
1,5,L-PE,0.95 ohm,0.96 ohm,X , 
1,5,N-PE,0.88 ohm,0.88 ohm,X , 
1,6,L-N,0.50 ohm,0.50 ohm,X , 
1,6,L-PE,0.48 ohm,0.48 ohm,X , 
1,6,N-PE,0.42 ohm,0.42 ohm,X , 
1,7,L-N,0.84 ohm,0.85 ohm,X , 
1,7,L-PE,0.67 ohm,0.68 ohm,X , 
1,7,N-PE,0.68 ohm,0.68 ohm,X , 
1,8,L-N,0.44 ohm,0.45 ohm,X , 
1,8,L-PE,0.42 ohm,0.42 ohm,X , 
1,8,N-PE,0.35 ohm,0.35 ohm,X , 
1,9,L-N,1.22 ohm,1.26 ohm,X , 
1,9,L-PE,1.16 ohm,1.18 ohm,X , 
1,9,N-PE,0.45 ohm,0.45 ohm,X , 
1,10,L-N,0.46 ohm,0.47 ohm,X , 
1,10,L-PE,0.44 ohm,0.45 ohm,X , 
1,10,N-PE,0.48 ohm,0.48 ohm,X , 
1,11,L-N,0.67 ohm,0.67 ohm,X , 
1,11,L-PE,0.65 ohm,0.65 ohm,X , 
1,11,N-PE,0.54 ohm,0.54 ohm,X , 
1,12,L-N,0.50 ohm,0.50 ohm,X , 
1,12,L-PE,0.48 ohm,0.48 ohm,X , 
1,12,N-PE,0.37 ohm,0.37 ohm,X , 
1,13,L-N,0.54 ohm,0.54 ohm,X , 
1,13,L-PE,0.53 ohm,0.52 ohm,X , 
1,13,N-PE,0.41 ohm,0.41 ohm,X , 
1,14,L-N,0.39 ohm,0.39 ohm,X , 
1,14,L-PE,0.37 ohm,0.37 ohm,X , 
1,14,N-PE,0.23 ohm,0.23 ohm,X , 
1,15,L-N,1.07 ohm,1.08 ohm,X , 
1,15,L-PE,1.05 ohm,1.05 ohm,X , 
1,15,N-PE,0.62 ohm,0.62 ohm,X , 
1,16,L-N,0.69 ohm,0.69 ohm,X , 
1,16,L-PE,0.67 ohm,0.67 ohm,X , 
1,16,N-PE,0.33 ohm,0.33 ohm,X , 
1,17,L-N,0.77 ohm,0.77 ohm,X , 
1,17,L-PE,0.75 ohm,0.75 ohm,X , 
1,17,N-PE,0.56 ohm,0.56 ohm,X , 
1,18,L-N,0.60 ohm,0.60 ohm,X , 
1,18,L-PE,0.58 ohm,0.59 ohm,X , 
1,18,N-PE,0.48 ohm,0.48 ohm,X , 
1,19,L-N,0.69 ohm,0.69 ohm,X , 
1,19,L-PE,0.67 ohm,0.67 ohm,X , 
1,19,N-PE,0.43 ohm,0.43 ohm,X , 
1,20,L-N,0.70 ohm,0.71 ohm,X , 
1,20,L-PE,0.69 ohm,0.70 ohm,X , 
1,20,N-PE,0.59 ohm,0.59 ohm,X , 
1,21,L-N,0.62 ohm,0.63 ohm,X , 
1,21,L-PE,0.60 ohm,0.61 ohm,X , 
1,21,N-PE,0.50 ohm,0.50 ohm,X , 
1,22,L-N,0.58 ohm,0.58 ohm,X , 
1,22,L-PE,0.56 ohm,0.56 ohm,X , 
1,22,N-PE,0.48 ohm,0.48 ohm,X , 
1,23,L-N,1.04 ohm,1.06 ohm,X , 
1,23,L-PE,0.98 ohm,1.00 ohm,X , 
1,23,N-PE,0.56 ohm,0.56 ohm,X , 
1,24,L-N,0.63 ohm,0.64 ohm,X , 
1,24,L-PE,0.61 ohm,0.62 ohm,X , 
1,24,N-PE,0.56 ohm,0.56 ohm,X , 
1,25,L-N,0.73 ohm,0.73 ohm,X , 
1,25,L-PE,0.70 ohm,0.71 ohm,X , 
1,25,N-PE,0.65 ohm,0.65 ohm,X , 
1,26,L-N,0.72 ohm,0.73 ohm,X , 
1,26,L-PE,0.71 ohm,0.71 ohm,X , 
1,26,N-PE,0.65 ohm,0.65 ohm,X , 
1,27,L-N,0.70 ohm,0.71 ohm,X , 
1,27,L-PE,0.68 ohm,0.68 ohm,X , 
1,27,N-PE,0.63 ohm,0.63 ohm,X , 
1,28,L-N,0.76 ohm,0.76 ohm,X , 
1,28,L-PE,0.74 ohm,0.74 ohm,X , 
1,28,N-PE,0.68 ohm,0.68 ohm,X , 
1,29,L-N,0.85 ohm,0.86 ohm,X , 
